CC ID #,LIMS #,Package,Tests,CoA Due Date,Source Harvest(s),Source Package(s),Item,Category,Item Strain,Shipped Quantity,Gross Weight,Notes,THC Target,CBD Target,Unnamed: 15,Unnamed: 13,Unnamed: 14,CC ID  #,LIMS  #,Shipped Qty.,Gross Wgt.,Unnamed: 9
.14882,171757.0,1A4070300005C31000012270,"TERPS, DPM",2025-04-29,Slurri Crasher Primary Harvest 6 26 Mar 2025,1A4070300005C31000012255,M00001184669: Slurri Crasher Big Buds,Bulk Flower/Buds,Slurri Crasher,12.25,,,-,-,,,,,,,,
.14883,171758.0,1A4070300005C31000012271,"TERPS, DPM",2025-04-29,Fire Tropical Kush Primary Harvest 6 26 Mar 2025.,1A4070300005C31000012256,M00001184515: Fire Tropical Kush Small Buds,Bulk Flower/Buds,Fire Tropical Kush,6.0,,,-,-,,,,,,,,
.14884,171759.0,1A4070300005C31000012272,"TERPS, DPM",2025-04-29,Fire Tropical Kush Primary Harvest 6 26 Mar 2025.,1A4070300005C31000012257,M00001184514: Fire Tropical Kush Big Buds,Bulk Flower/Buds,Fire Tropical Kush,25.87,,,-,-,,,,,,,,
.14885,171760.0,1A4070300005C31000012958,"TERPS, DPM",2025-04-29,Citrus Crasher Primary Harvest 6 26 Mar 2025,1A4070300005C31000012258,M00001182106: Citrus Crasher Big Buds,Bulk Flower/Buds,Citrus Crasher,20.51,,,-,-,,,,,,,,
.14886,171761.0,1A4070300005C31000012274,"TERPS, DPM",2025-04-29,Citrus Crasher Primary Harvest 6 26 Mar 2025,1A4070300005C31000012259,M00001182107: Citrus Crasher Small Buds,Bulk Flower/Buds,Citrus Crasher,6.0,,,-,-,,,,,,,,
.14887,171762.0,1A4070300005C31000012275,"TERPS, DPM",2025-04-29,Willie Wayne OG Primary Harvest 6 26 Mar 2025,1A4070300005C31000012286,M00001184587: Willie Wayne OG Big Buds,Bulk Flower/Buds,Willie Wayne OG,19.65,,,-,-,,,,,,,,
.14888,171763.0,1A4070300005C31000012276,"TERPS, DPM",2025-04-29,Kush Mintz Primary Harvest 6 26 Mar 2025,1A4070300005C31000012287,M00001184633: Kush Mintz Big Buds,Bulk Flower/Buds,Kush Mintz,17.32,,,-,-,,,,,,,,
.14889,171764.0,1A4070300005C31000012277,"TERPS, DPM",2025-04-29,Blue Drama Primary Harvest 6 26 Mar 2025,1A4070300005C31000012288,M00001181728: Blue Drama Big Buds,Bulk Flower/Buds,Blue Drama,23.22,,,-,-,,,,,,,,
.14890,171765.0,1A4070300005C31000012278,"TERPS, DPM",2025-04-29,Blue Drama Primary Harvest 6 26 Mar 2025,1A4070300005C31000012289,M00001181538: Blue Drama Small Buds,Bulk Flower/Buds,Blue Drama,6.0,,,-,-,,,,,,,,
.14891,171766.0,1A4070300005C31000012279,"TERPS, DPM",2025-04-29,Kush Mintz Primary Harvest 6 26 Mar 2025,1A4070300005C31000012290,M00001184728: Kush Mintz Small Buds,Bulk Flower/Buds,Kush Mintz,6.0,,,-,-,,,,,,,,
.14892,171767.0,1A4070300005C31000012280,"TERPS, DPM",2025-04-29,Ice Cream Mintz Primary Harvest 6 26 Mar 2025,1A4070300005C31000012163,M00001184622: Ice Cream Mintz Big Buds,Bulk Flower/Buds,Ice Cream Mintz,28.68,,,-,-,,,,,,,,
.14893,171768.0,1A4070300005C31000012281,"TERPS, DPM",2025-04-29,Ice Cream Mintz Primary Harvest 6 26 Mar 2025,1A4070300005C31000012164,M00001184623: Ice Cream Mintz Small Buds,Bulk Flower/Buds,Ice Cream Mintz,27.12,,,-,-,,,,,,,,
.14894,171769.0,1A4070300005C31000012282,"TERPS, DPM",2025-04-29,Ice Cream Mintz Primary Harvest 6 26 Mar 2025,1A4070300005C31000012165,M00001184623: Ice Cream Mintz Small Buds,Bulk Flower/Buds,Ice Cream Mintz,25.3,,,-,-,,,,,,,,
.14895,171770.0,1A4070300005C31000012283,"TERPS, DPM",2025-04-29,Dreamsicle Primary Harvest 6 26 Mar 2025.,1A4070300005C31000012997,M00001184710: Dreamsicle Small Buds,Bulk Flower/Buds,Dreamsicle,20.34,,,-,-,,,,,,,,
.14896,171771.0,1A4070300005C31000012284,"TERPS, DPM",2025-04-29,Dreamsicle Primary Harvest 6 26 Mar 2025.,1A4070300005C31000012998,M00001184710: Dreamsicle Small Buds,Bulk Flower/Buds,Dreamsicle,20.29,,,-,-,,,,,,,,
.14897,171772.0,1A4070300005C31000012285,"TERPS, DPM",2025-04-29,Dreamsicle Primary Harvest 6 26 Mar 2025.,1A4070300005C31000012999,M00001184507: Dreamsicle Big Buds,Bulk Flower/Buds,Dreamsicle,19.47,,,-,-,,,,,,,,
.14898,171773.0,1A4070300005C31000012959,"TERPS, DPM",2025-04-29,Dreamsicle Primary Harvest 6 26 Mar 2025.,1A4070300005C31000013000,M00001184507: Dreamsicle Big Buds,Bulk Flower/Buds,Dreamsicle,19.46,,,-,-,,,,,,,,
.14899,171774.0,1A4070300005C31000014000,R&D VIR,2025-04-29,Cookie Kush (2) R&D Manicure Harvest,1A4070300005C31000013999,M00000871426: Cookie Kush Shake/Trim,Shake/Trim (By Strain),Cookie Kush,4.0,,"HLV, Pythium, Fusarium. Test 2 leaves, 1 root and 1 stem for all.",-,-,,,,,,,,
.14900,171775.0,1A4070300005C31000012297,"TERPS, DPM",2025-04-29,Jungle Fruit Primary Harvest 6 26 Mar 2025,1A4070300005C31000012296,M00001184627: Jungle Fruit Big Buds,Bulk Flower/Buds,Jungle Fruit,17.93,,,-,-,,,,,,,,
.14901,171776.0,1A4070300005C31000012298,"TERPS, DPM",2025-04-29,Jungle Fruit Primary Harvest 6 26 Mar 2025,1A4070300005C31000012295,M00001184628: Jungle Fruit Small Buds,Bulk Flower/Buds,Jungle Fruit,6.0,,,-,-,,,,,,,,
.14902,171777.0,1A4070300005C31000012299,"TERPS, DPM",2025-04-29,Heavy Pulp Primary Harvest 6 26 Mar 2025,1A4070300005C31000012292,M00001184523: Heavy Pulp Big Buds,Bulk Flower/Buds,Heavy Pulp,21.76,,,-,-,,,,,,,,
.14903,171778.0,1A4070300005C31000012300,"TERPS, DPM",2025-04-29,Heavy Pulp Primary Harvest 6 26 Mar 2025,1A4070300005C31000012291,M00001184523: Heavy Pulp Big Buds,Bulk Flower/Buds,Heavy Pulp,28.58,,,-,-,,,,,,,,
.14904,171779.0,1A4070300005C31000012301,"TERPS, DPM",2025-04-29,Heavy Pulp Primary Harvest 6 26 Mar 2025,1A4070300005C31000012273,M00001184523: Heavy Pulp Big Buds,Bulk Flower/Buds,Heavy Pulp,17.81,,,-,-,,,,,,,,
.14905,171780.0,1A4070300005C31000012302,"TERPS, DPM",2025-04-29,Heavy Pulp Primary Harvest 6 26 Mar 2025,1A4070300005C31000012293,M00001184811: Heavy Pulp Small Buds,Bulk Flower/Buds,Heavy Pulp,20.24,,,-,-,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
04/25/2025  King City Gardens  Manifest   0001268426 / Confident Cannabis Order # 2504NCTL1823,,,,,,,,,,,,,,,,,,,,,,
CoA Completion Due Date: 04/29/2025,,,,,,,,,,,,,,,,,,,,,,
Sampling Method: NCTL SOP-230 Medical Marijuana Sampling Procedure,,,,,,,,,,,,,,,,,,,,,,
Field Balance: pmc 1855,,,,,,,,,,,,,,,,,,,,,,
.15009,171884.0,1A4070300002D51000001706,"TERPS, NSPNPT",2025-04-29,"110424AJsSourDieselC57, 121624BlueDreamC63",1A4070300002D51000002707,M00001086904: Bulk Sativa Rosin,Bulk Concentrate,,4.2,,"Blind Duplicate
Concentrate",Blind DUP,-,,,,,,,,
.15010,171913.0,1A4070300002D51000001707,PPPT,2025-04-29,"110424GlitterbombC57, C610240055",1A4070300002D51000001699,M00001086903: Bulk Indica Gummy,Bulk Edible,,10.0,59.51,,1.67 mg/g,-,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"04/25/2025  Sun Theory Ohio, LLC  Manifest   0001268929 / Confident Cannabis Order # 2504NCTL1836",,,,,,,,,,,,,,,,,,,,,,
CoA Completion Due Date: 04/29/2025,,,,,,,,,,,,,,,,,,,,,,
Sampling Method: NCTL SOP-230 Medical Marijuana Sampling Procedure,,,,,,,,,,,,,,,,,,,,,,
Field Balance: JDY 1592,,,,,,,,,,,,,,,,,,,,,,
.16853,173630.0,1A4070300005C31000012365,"TERPS, DPM",2025-05-13,Orange Sherb Primary Harvest 6 26 Mar 2025.,1A4070300005C31000012358,M00001184744: Orange Sherb Small Buds,Bulk Flower/Buds,Orange Sherb,20.11,,,-,-,,,,,,,,
.16854,173631.0,1A4070300005C31000012366,"TERPS, DPM",2025-05-13,Lemon Meringue Pie Primary Harvest 7 9 Apr 2025,1A4070300005C31000012359,M00001184639: Lemon Meringue Pie Small Buds,Bulk Flower/Buds,Lemon Meringue Pie,7.09,,,-,-,,,,,,,,
.16855,173632.0,1A4070300005C31000012367,"TERPS, DPM",2025-05-13,Lemon Meringue Pie Primary Harvest 7 9 Apr 2025,1A4070300005C31000012360,M00001184537: Lemon Meringue Pie Big Buds,Bulk Flower/Buds,Lemon Meringue Pie,11.1,,,-,-,,,,,,,,
.16856,173633.0,1A4070300005C31000012368,"TERPS, DPM",2025-05-13,Jungle Fruit Primary Harvest 7 9 Apr 2025,1A4070300005C31000012308,M00001184628: Jungle Fruit Small Buds,Bulk Flower/Buds,Jungle Fruit,21.56,,,-,-,,,,,,,,
.16857,173634.0,1A4070300005C31000012369,"TERPS, DPM",2025-05-13,Jungle Fruit Primary Harvest 7 9 Apr 2025,1A4070300005C31000012309,M00001184627: Jungle Fruit Big Buds,Bulk Flower/Buds,Jungle Fruit,25.1,,,-,-,,,,,,,,
.16858,173635.0,1A4070300005C31000012370,"TERPS, DPM",2025-05-13,Jungle Fruit Primary Harvest 7 9 Apr 2025,1A4070300005C31000012356,M00001184627: Jungle Fruit Big Buds,Bulk Flower/Buds,Jungle Fruit,25.89,,,-,-,,,,,,,,
.16859,173636.0,1A4070300005C31000012371,"TERPS, DPM",2025-05-13,Jungle Fruit Primary Harvest 7 9 Apr 2025,1A4070300005C31000012357,M00001184627: Jungle Fruit Big Buds,Bulk Flower/Buds,Jungle Fruit,26.95,,,-,-,,,,,,,,
.16860,173637.0,1A4070300005C31000012372,"TERPS, DPM",2025-05-13,Kush Monkey Primary Harvest 7 9 Apr 2025,1A4070300005C31000012305,M00001184529: Kush Monkey Big Buds,Bulk Flower/Buds,Kush Monkey,30.49,,,-,-,,,,,,,,
.16861,173638.0,1A4070300005C31000012373,"TERPS, DPM",2025-05-13,Kush Monkey Primary Harvest 7 9 Apr 2025,1A4070300005C31000012306,M00001184529: Kush Monkey Big Buds,Bulk Flower/Buds,Kush Monkey,30.48,,,-,-,,,,,,,,
.16862,173639.0,1A4070300005C31000012374,"TERPS, DPM",2025-05-13,Kush Monkey Primary Harvest 7 9 Apr 2025,1A4070300005C31000012307,M00001184634: Kush Monkey Small Buds,Bulk Flower/Buds,Kush Monkey,22.13,,,-,-,,,,,,,,
.16863,173640.0,1A4070300005C31000012376,"TERPS, DPM",2025-05-13,Bread Fish Primary Harvest 7 9 Apr 2025,1A4070300005C31000012362,M00001181834: Bread Fish Big Buds,Bulk Flower/Buds,Bread Fish,29.64,,,-,-,,,,,,,,
.16864,173641.0,1A4070300005C31000012377,"TERPS, DPM",2025-05-13,Bread Fish Primary Harvest 7 9 Apr 2025,1A4070300005C31000012363,M00001181834: Bread Fish Big Buds,Bulk Flower/Buds,Bread Fish,29.66,,,-,-,,,,,,,,
.16865,173642.0,1A4070300005C31000012378,"TERPS, DPM",2025-05-13,Bread Fish Primary Harvest 7 9 Apr 2025,1A4070300005C31000012364,M00001181359: Bread Fish Small Buds,Bulk Flower/Buds,Bread Fish,12.68,,,-,-,,,,,,,,
.16866,173643.0,1A4070300005C31000012340,"TERPS, DPM",2025-05-13,Orange Sherb Primary Harvest 6 26 Mar 2025.,1A4070300005C31000012381,M00001184827: Orange Sherb Big Buds,Bulk Flower/Buds,Orange Sherb,23.86,,,-,-,,,,,,,,
.16867,173644.0,1A4070300005C31000012341,"TERPS, DPM",2025-05-13,Orange Sherb Primary Harvest 6 26 Mar 2025.,1A4070300005C31000012382,M00001184827: Orange Sherb Big Buds,Bulk Flower/Buds,Orange Sherb,23.92,,,-,-,,,,,,,,
.16868,173645.0,1A4070300005C31000012342,"TERPS, DPM",2025-05-13,Orange Sherb Primary Harvest 6 26 Mar 2025.,1A4070300005C31000012383,M00001184827: Orange Sherb Big Buds,Bulk Flower/Buds,Orange Sherb,23.91,,,-,-,,,,,,,,
.16869,173646.0,1A4070300005C31000012343,"TERPS, DPM",2025-05-13,Flores Verdes Primary Harvest 7 9 Apr 2025,1A4070300005C31000012384,M00001184715: Flores Verdes Small Buds,Bulk Flower/Buds,Flores Verdes,15.0,,,-,-,,,,,,,,
.16870,173647.0,1A4070300005C31000012345,"TERPS, DPM",2025-05-13,Flores Verdes Primary Harvest 7 9 Apr 2025,1A4070300005C31000012385,M00001184805: Flores Verdes Big Buds,Bulk Flower/Buds,Flores Verdes,25.56,,,-,-,,,,,,,,
.16871,173648.0,1A4070300005C31000012346,"TERPS, DPM",2025-05-13,Flores Verdes Primary Harvest 7 9 Apr 2025,1A4070300005C31000012387,M00001184805: Flores Verdes Big Buds,Bulk Flower/Buds,Flores Verdes,27.05,,,-,-,,,,,,,,
.16872,173649.0,1A4070300005C31000012379,PPM,2025-05-13,"Fire Tropical Kush Primary Harvest 6 26 Mar 2025., Jungle Fruit Primary Harvest 6 26 Mar 2025, Kush Mintz Primary Harvest 6 26 Mar 2025, Slurri Crasher Primary Harvest 6 26 Mar 2025",1A4070300005C31000012294,M00000830003: Shake/Trim,Shake/Trim,,52.15,,,-,-,,,,,,,,
.16873,173650.0,1A4070300005C31000012380,PPM,2025-05-13,"Cherry Mintz Bx1 Primary Harvest 36 15 Nov 2024, Fire Tropical Kush Primary Harvest 36 15 Nov 2024, Ice Cream Mintz Primary Harvest 36 15 Nov 2024",1A4070300005C31000012361,M00000830003: Shake/Trim,Shake/Trim,,55.58,,,-,-,,,,,,,,
.16874,173651.0,1A4070300005C31000012375,"TERPS, DPM",2025-05-13,Kush Monkey Primary Harvest 7 9 Apr 2025,1A4070300005C31000012310,M00001184529: Kush Monkey Big Buds,Bulk Flower/Buds,Kush Monkey,30.51,,,-,-,,,,,,,,
.16875,173652.0,1A4070300005C31000003218,R&D VIR,2025-05-13,Banana Fire Breath R&D Manicure Harvest,1A4070300005C31000003217,M00000871417: Banana Fire Breath Shake/Trim,Shake/Trim (By Strain),Banana Fire Breath,4.0,,"HLV, Fusarium, Pythium",-,-,,,,,,,,
.16876,173653.0,1A4070300005C31000012388,"TERPS, DPM",2025-05-13,Flores Verdes Primary Harvest 7 9 Apr 2025,1A4070300005C31000012386,M00001184805: Flores Verdes Big Buds,Bulk Flower/Buds,Flores Verdes,24.03,,,-,-,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
05/09/2025  King City Gardens  Manifest   0001273022 / Confident Cannabis Order # 2505NCTL2060,,,,,,,,,,,,,,,,,,,,,,
CoA Completion Due Date: 05/13/2025,,,,,,,,,,,,,,,,,,,,,,
Sampling Method: NCTL SOP-230 Medical Marijuana Sampling Procedure,,,,,,,,,,,,,,,,,,,,,,
Field Balance: jdy 1592,,,,,,,,,,,,,,,,,,,,,,
.17365,174143.0,1A4070300002C25000010114,"TERPS, SBPNPT",2025-05-15,"FIRm#4 First Class Funk 6.4.24, FIRm#4 Grape Cookies 6.4.24, FIRm#5 Lemon Drip 6.25.24, FIRm#5 Skunky Jack 6.25.24, FiRm#6 Grape Cookies 7.16.24, FiRm#8 Grape Kush Mints 8.6.24, FiRm#8 Skunky Jack 8.6.24, FlRm# 6 Blue Blast 9.4.24, FlRm#1 Blue Blast 7.2.24, FlRm#1 Blue Blast 8.28.24, FlRm#1 Grape Kush Mints 7.9.24, FlRm#1 Skunky Jack 7.9.24, FlRm#2 Animal Mints 7.2.24, FlRm#2 Grape Kush Mints 8.27.24, FlRm#2 Skunky Jack 8.27.24, FlRm#3 Grape Cookies 6.18.24, FlRm#4 Animal Mints 7.30.24, FlRm#5 Animal Mints 6.25.24, FlRm#5 Animal Mints 8.20.24, FlRm#5 First Class Funk 4.30.24, FlRm#5 First Class Funk 6.25.24, FlRm#5 Grape Cookies 8.20.24, FlRm#5 Grape Kush Mints 6.25.24, FlRm#6 Animal Mints 7.16.24, FlRm#6Grape Cookies 5.21.24, FlRm#7 First Class Funk 5.28.24, FlRm#7 Grape Kush Mints 7.23.24, FlRm#7 Lemon Drip 7.23.24, FlRm#7 Skunky Jack 7.23.24, FlRm#7GrapeCookies4.2.24, FlRm#8 Blue Blast 7.30.24, FlRm#8 Blue Blast 9.24.24, FlRm#8 Lemon Drip 6.11.24, FlRm#8First Class Funk4.16.2024,...",1A4070300002C25000010113,M00001210006: Distillate Mix (Watermelon Pineapple),Bulk Concentrate,,4.2,,"63-77%
Concentrate",63-77%,-,,,,,,,,
.17366,174144.0,1A4070300002C25000010115,"TERPS, NSPNPT",2025-05-15,"FlRm# 2 Jokerz 4.7.25, FlRm#2 Jokerz 04.07.25 Fresh Frozen",1A4070300002C25000003960,M00001133002: jokerz decarb rosin,Bulk Concentrate,,4.2,,"63-77%
Concentrate",63-77%,-,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
05/13/2025  Pure Ohio Wellness  Manifest   0001273927 / Confident Cannabis Order # 2505NCTL2107,,,,,,,,,,,,,,,,,,,,,,
CoA Completion Due Date: 05/15/2025,,,,,,,,,,,,,,,,,,,,,,
Sampling Method: NCTL SOP-230 Medical Marijuana Sampling Procedure,,,,,,,,,,,,,,,,,,,,,,
Field Balance: plz 4520,,,,,,,,,,,,,,,,,,,,,,
.17367,174145.0,1A40703000004B2000004928,"DPM, TERPS",2025-05-15,FlRm#1 Raspberry Trophy Wife 4.15.25,1A40703000004B2000000881,M00001068502: Raspberry Trophy Wife - Bulk Flower/Buds,Bulk Flower/Buds,Raspberry Trophy Wife,33.85,,,,-,,,,,,,,
.17368,174146.0,1A40703000004B2000004929,"DPM, TERPS",2025-05-15,FLRm#1 First Class Funk 4.15.25,1A40703000004B2000000882,M00000783504: First Class Funk - Bulk Flower/Buds,Bulk Flower/Buds,First Class Funk,23.99,,,,-,,,,,,,,
.17369,174147.0,1A40703000004B2000004930,"DPM, TERPS",2025-05-15,FLRm#1 First Class Funk 4.15.25,1A40703000004B2000000883,M00000783504: First Class Funk - Bulk Flower/Buds,Bulk Flower/Buds,First Class Funk,23.99,,,,-,,,,,,,,
.17370,174148.0,1A40703000004B2000004931,"DPM, TERPS",2025-05-15,FLRm#1 First Class Funk 4.15.25,1A40703000004B2000000884,M00000783504: First Class Funk - Bulk Flower/Buds,Bulk Flower/Buds,First Class Funk,23.99,,,,-,,,,,,,,
.17371,174149.0,1A40703000004B2000004932,"DPM, TERPS",2025-05-15,FlRm#1 Mr. Nasty 4.15.25,1A40703000004B2000000885,M00001049717: Mr. Nasty - Bulk Flower/Buds,Bulk Flower/Buds,Mr. Nasty,20.76,,,,-,,,,,,,,
.17372,174150.0,1A40703000004B2000004933,"DPM, TERPS",2025-05-15,FlRm#1 Animal Mints 4.15.25,1A40703000004B2000000886,M00000189947: Animal Mints - Bulk Flower,Bulk Flower/Buds,Animal Mints,29.49,,,,-,,,,,,,,
.17373,174151.0,1A40703000004B2000004934,"DPM, TERPS",2025-05-15,FlRm#1 Animal Mints 4.15.25,1A40703000004B2000000887,M00000189947: Animal Mints - Bulk Flower,Bulk Flower/Buds,Animal Mints,29.49,,,-,-,,,,,,,,
.17374,174152.0,1A40703000004B2000004935,"DPM, TERPS",2025-05-15,FlRm#1 Animal Mints 4.15.25,1A40703000004B2000000888,M00000189947: Animal Mints - Bulk Flower,Bulk Flower/Buds,Animal Mints,29.49,,,,-,,,,,,,,
.17375,174153.0,1A40703000004B2000004936,"DPM, TERPS",2025-05-15,FlRm#1 Hikers Blend 4.15.25,1A40703000004B2000000889,M00000041739: Hiker's Blend - Bulk Flower,Bulk Flower/Buds,Hiker's Blend,25.95,,,,-,,,,,,,,
.17376,174154.0,1A40703000004B2000004937,"DPM, TERPS",2025-05-15,FlRm#1 G-Roll 4.15.25,1A40703000004B2000000890,M00001203002: G Roll - Bulk Flower/Buds,Bulk Flower/Buds,G Roll,25.5,,,,-,,,,,,,,
.17377,174155.0,1A40703000004B2000004938,"DPM, TERPS",2025-05-15,FlRm#1 G-Roll 4.15.25,1A40703000004B2000000891,M00001203002: G Roll - Bulk Flower/Buds,Bulk Flower/Buds,G Roll,25.5,,,,-,,,,,,,,
.17378,174156.0,1A40703000004B2000004939,"MICRO to DPM, TERPS",2025-05-15,FlRm# 6 Sunky Jack 4.22.25,1A40703000004B2000000745,M00000413612: Skunky Jack - Bulk Flower/Buds,Bulk Flower/Buds,Super Skunk x Jack Herer,24.34,,ES,,-,,,,,,,,
.17379,174157.0,1A40703000004B2000004940,"MICRO to DPM, TERPS",2025-05-15,FlRm# 6 Sunky Jack 4.22.25,1A40703000004B2000000746,M00000413612: Skunky Jack - Bulk Flower/Buds,Bulk Flower/Buds,Super Skunk x Jack Herer,24.34,,ES,,-,,,,,,,,
.17380,174158.0,1A40703000004B2000004941,"MICRO to DPM, TERPS",2025-05-15,FlRm# 6 Sunky Jack 4.22.25,1A40703000004B2000000747,M00000413612: Skunky Jack - Bulk Flower/Buds,Bulk Flower/Buds,Super Skunk x Jack Herer,24.34,,ES,,-,,,,,,,,
.17381,174159.0,1A40703000004B2000004942,"MICRO to DPM, TERPS",2025-05-15,FlRm#6 Gypsy Soap 4.22.25,1A40703000004B2000000751,M00000738120: Gypsy Soap - Bulk Flower,Bulk Flower/Buds,Gypsy Soap,27.1,,ES,,-,,,,,,,,
.17382,174160.0,1A40703000004B2000004943,"MICRO to DPM, TERPS",2025-05-15,FlRm#6 Gypsy Soap 4.22.25,1A40703000004B2000000752,M00000738120: Gypsy Soap - Bulk Flower,Bulk Flower/Buds,Gypsy Soap,27.1,,ES,,-,,,,,,,,
.17383,174161.0,1A40703000004B2000004944,"MICRO to DPM, TERPS",2025-05-15,FlRm#6MiracleMints4.22.25,1A40703000004B2000000892,M00000783602: Miracle Mints - Bulk Flower/Buds,Bulk Flower/Buds,Miracle Mints,32.21,,ES,,-,,,,,,,,
.17384,174162.0,1A40703000004B2000004945,"MICRO to DPM, TERPS",2025-05-15,FlRm#6HOW4.22.25,1A40703000004B2000000897,M00000118016: Hell On Wheels - Bulk Flower,Bulk Flower/Buds,Hell On Wheels,25.85,,ES,,-,,,,,,,,
.17385,174163.0,1A40703000004B2000004946,"MICRO to DPM, TERPS",2025-05-15,FlRm#6HOW4.22.25,1A40703000004B2000000898,M00000118016: Hell On Wheels - Bulk Flower,Bulk Flower/Buds,Hell On Wheels,25.85,,ES,,-,,,,,,,,
.17386,174164.0,1A40703000004B2000004947,"MICRO to DPM, TERPS",2025-05-15,FlRm#4 Zour Zkittles 4.29.25,1A40703000004B2000000902,M00000979404: Zour Zkittles - Bulk Flower/Buds,Bulk Flower/Buds,Zour Zkittles,22.11,,ES,,-,,,,,,,,
.17387,174165.0,1A40703000004B2000004948,"MICRO to DPM, TERPS",2025-05-15,FlRm#4 Zour Zkittles 4.29.25,1A40703000004B2000000903,M00000979404: Zour Zkittles - Bulk Flower/Buds,Bulk Flower/Buds,Zour Zkittles,22.11,,ES,,-,,,,,,,,
.17388,174166.0,1A40703000004B2000004949,PPM,2025-05-15,FlRm# 6 Sunky Jack 4.22.25,1A40703000004B2000000748,M00000413614: Skunky Jack (Smalls) - Bulk Flower/Buds,Bulk Flower/Buds,Super Skunk x Jack Herer,26.31,,,,-,,,,,,,,
.17389,174167.0,1A40703000004B2000004950,PPM,2025-05-15,FlRm#6 Gypsy Soap 4.22.25,1A40703000004B2000000753,M00001072706: Gypsy Soap (Smalls) - Bulk Flower/Buds,Bulk Flower/Buds,Gypsy Soap,22.23,,,,-,,,,,,,,
.17390,174168.0,1A40703000004B2000004951,PPM,2025-05-15,FlRm#6MiracleMints4.22.25,1A40703000004B2000000893,M00000779707: Miracle Mints - Shake/Trim,Shake/Trim (By Strain),Miracle Mints,36.51,,,,-,,,,,,,,
.17391,174169.0,1A40703000004B2000004952,PPM,2025-05-15,FlRm#6HOW4.22.25,1A40703000004B2000000899,M00000366409: Hell On Wheels (Smalls) - Bulk Flower/Buds,Bulk Flower/Buds,Hell On Wheels,27.9,,,,-,,,,,,,,
